x,bode,phase
0.010000,-0.000434,-0.572939
0.013895,-0.000838,-0.796071
0.019307,-0.001619,-1.106071
0.026827,-0.003124,-1.536703
0.037276,-0.006030,-2.134765
0.051795,-0.011635,-2.964971
0.071969,-0.022436,-4.116398
0.100000,-0.043214,-5.710593
0.138950,-0.083050,-7.910572
0.193070,-0.158943,-10.927628
0.268270,-0.301821,-15.017126
0.372759,-0.565045,-20.443411
0.517947,-1.032116,-27.381783
0.719686,-1.812567,-35.742025
1.000000,-3.010300,-45.000000
1.389495,-4.669710,-54.257975
1.930698,-6.746401,-62.618217
2.682696,-9.136473,-69.556589
3.727594,-11.730392,-74.982874
5.179475,-14.444657,-79.072372
7.196857,-17.225907,-82.089428
10.000000,-20.043214,-84.289407
13.894955,-22.879579,-85.883602
19.306977,-25.725921,-87.035029
26.826958,-28.577459,-87.865235
37.275937,-31.431696,-88.463297
51.794747,-34.287333,-88.893929
71.968567,-37.143696,-89.203929
100.000000,-40.000434,-89.427061
138.949549,-42.857368,-89.587658
193.069773,-45.714402,-89.703241
268.269580,-48.571489,-89.786426
372.759372,-51.428603,-89.846293
517.947468,-54.285730,-89.889379
719.685673,-57.142866,-89.920388
1000.000000,-60.000004,-89.942704
1389.495494,-62.857145,-89.958765
1930.697729,-65.714287,-89.970324
2682.695795,-68.571429,-89.978642
3727.593720,-71.428572,-89.984629
5179.474679,-74.285714,-89.988938
7196.856730,-77.142857,-89.992039
10000.000000,-80.000000,-89.994270
13894.954944,-82.857143,-89.995877
19306.977289,-85.714286,-89.997032
26826.957953,-88.571429,-89.997864
37275.937203,-91.428571,-89.998463
51794.746792,-94.285714,-89.998894
71968.567300,-97.142857,-89.999204
100000.000000,-100.000000,-89.999427
