x,bode,phase
0.054287,0.022418,-1.559413
0.058017,0.025608,-1.667202
0.062003,0.029252,-1.782540
0.066263,0.033416,-1.905976
0.070816,0.038173,-2.038106
0.075682,0.043608,-2.179575
0.080882,0.049819,-2.331081
0.086440,0.056916,-2.493387
0.092379,0.065027,-2.667319
0.098727,0.074298,-2.853785
0.105510,0.084894,-3.053776
0.112760,0.097007,-3.268382
0.120508,0.110857,-3.498804
0.128788,0.126693,-3.746373
0.137637,0.144805,-4.012566
0.147094,0.165523,-4.299032
0.157201,0.189226,-4.607618
0.168002,0.216353,-4.940409
0.179545,0.247405,-5.299767
0.191882,0.282962,-5.688383
0.205066,0.323692,-6.109349
0.219157,0.370367,-6.566237
0.234215,0.423878,-7.063202
0.250308,0.485260,-7.605122
0.267507,0.555711,-8.197766
0.285887,0.636622,-8.848016
0.305531,0.729617,-9.564161
0.326524,0.836585,-10.356284
0.348959,0.959737,-11.236777
0.372936,1.101657,-12.221044
0.398561,1.265372,-13.328461
0.425946,1.454425,-14.583720
0.455213,1.672954,-16.018716
0.486491,1.925761,-17.675265
0.519918,2.218348,-19.609042
0.555642,2.556852,-21.895380
0.593820,2.947750,-24.637848
0.634622,3.397038,-27.980897
0.678227,3.908252,-32.127921
0.724828,4.478039,-37.364663
0.774631,5.086796,-44.080833
0.827856,5.680841,-52.759187
0.884739,6.146034,-63.845433
0.945530,6.294185,-77.365565
1.010497,5.922326,-92.391912
1.079929,4.959378,-107.112769
1.154131,3.533597,-119.914288
1.233432,1.856529,-130.210253
1.318182,0.094575,-138.217369
1.408754,-1.660044,-144.419984
1.505550,-3.366907,-149.277453
1.608997,-5.012969,-153.145401
1.719552,-6.597751,-156.280986
1.837703,-8.125890,-158.866767
1.963973,-9.603672,-161.032681
2.098918,-11.037524,-162.872281
2.243135,-12.433399,-164.453949
2.397262,-13.796581,-165.828484
2.561979,-15.131655,-167.034226
2.738013,-16.442566,-168.100561
2.926143,-17.732684,-169.050335
3.127200,-19.004891,-169.901554
3.342071,-20.261647,-170.668584
3.571706,-21.505055,-171.363026
3.817119,-22.736917,-171.994351
4.079395,-23.958778,-172.570369
4.359692,-25.171967,-173.097585
4.659248,-26.377627,-173.581466
4.979387,-27.576744,-174.026646
5.321522,-28.770172,-174.437085
5.687166,-29.958647,-174.816193
6.077933,-31.142808,-175.166927
6.495550,-32.323209,-175.491871
6.941862,-33.500331,-175.793292
7.418840,-34.674592,-176.073197
7.928591,-35.846356,-176.333368
8.473368,-37.015940,-176.575396
9.055576,-38.183620,-176.800711
9.677789,-39.349635,-177.010600
10.342753,-40.514197,-177.206227
11.053408,-41.677487,-177.388652
11.812892,-42.839666,-177.558836
12.624560,-44.000873,-177.717661
13.491998,-45.161230,-177.865934
14.419039,-46.320843,-178.004395
15.409776,-47.479806,-178.133726
16.468588,-48.638200,-178.254555
17.600151,-49.796096,-178.367463
18.809464,-50.953557,-178.472987
20.101869,-52.110635,-178.571625
21.483077,-53.267381,-178.663837
22.959187,-54.423834,-178.750052
24.536721,-55.580031,-178.830668
26.222649,-56.736005,-178.906055
28.024417,-57.891783,-178.976558
29.949986,-59.047389,-179.042497
32.007861,-60.202845,-179.104172
34.207133,-61.358170,-179.161861
36.557518,-62.513380,-179.215823
39.069399,-63.668489,-179.266303
