x,bode,phase
0.010000,-40.000434,89.427061
0.013895,-37.143696,89.203929
0.019307,-34.287333,88.893929
0.026827,-31.431696,88.463297
0.037276,-28.577459,87.865235
0.051795,-25.725921,87.035029
0.071969,-22.879579,85.883602
0.100000,-20.043214,84.289407
0.138950,-17.225907,82.089428
0.193070,-14.444657,79.072372
0.268270,-11.730392,74.982874
0.372759,-9.136473,69.556589
0.517947,-6.746401,62.618217
0.719686,-4.669710,54.257975
1.000000,-3.010300,45.000000
1.389495,-1.812567,35.742025
1.930698,-1.032116,27.381783
2.682696,-0.565045,20.443411
3.727594,-0.301821,15.017126
5.179475,-0.158943,10.927628
7.196857,-0.083050,7.910572
10.000000,-0.043214,5.710593
13.894955,-0.022436,4.116398
19.306977,-0.011635,2.964971
26.826958,-0.006030,2.134765
37.275937,-0.003124,1.536703
51.794747,-0.001619,1.106071
71.968567,-0.000838,0.796071
100.000000,-0.000434,0.572939
138.949549,-0.000225,0.412342
193.069773,-0.000117,0.296759
268.269580,-0.000060,0.213574
372.759372,-0.000031,0.153707
517.947468,-0.000016,0.110621
719.685673,-0.000008,0.079612
1000.000000,-0.000004,0.057296
1389.495494,-0.000002,0.041235
1930.697729,-0.000001,0.029676
2682.695795,-0.000001,0.021358
3727.593720,-0.000000,0.015371
5179.474679,-0.000000,0.011062
7196.856730,-0.000000,0.007961
10000.000000,-0.000000,0.005730
13894.954944,-0.000000,0.004123
19306.977289,-0.000000,0.002968
26826.957953,-0.000000,0.002136
37275.937203,-0.000000,0.001537
51794.746792,-0.000000,0.001106
71968.567300,-0.000000,0.000796
100000.000000,-0.000000,0.000573
