real,imag
-5.008614e-02,-5.783262e-03
-9.901222e-02,-1.657894e-02
-1.483286e-01,-3.137594e-02
-1.956867e-01,-4.904205e-02
-2.431876e-01,-7.014736e-02
-2.897639e-01,-9.423741e-02
-3.341601e-01,-1.205080e-01
-3.793628e-01,-1.508356e-01
-4.222257e-01,-1.832595e-01
-4.722131e-01,-2.261640e-01
-5.150001e-01,-2.679247e-01
-5.626252e-01,-3.209766e-01
-5.970013e-01,-3.645228e-01
-6.331956e-01,-4.163754e-01
-6.706277e-01,-4.784720e-01
-7.082050e-01,-5.532039e-01
-7.440143e-01,-6.434539e-01
-7.603228e-01,-6.954232e-01
-7.748552e-01,-7.525396e-01
-7.869011e-01,-8.152405e-01
-7.955760e-01,-8.839330e-01
-7.997914e-01,-9.589543e-01
-7.982297e-01,-1.040516e+00
-7.893255e-01,-1.128626e+00
-7.712672e-01,-1.222994e+00
-7.420288e-01,-1.322902e+00
-6.994497e-01,-1.427073e+00
-6.413824e-01,-1.533533e+00
-5.659194e-01,-1.639501e+00
-4.717030e-01,-1.741365e+00
-3.582917e-01,-1.834776e+00
-2.265220e-01,-1.914932e+00
-7.876919e-02,-1.977040e+00
8.100392e-02,-2.016929e+00
2.474912e-01,-2.031687e+00
4.145835e-01,-2.020160e+00
5.761030e-01,-1.983160e+00
7.265554e-01,-1.923315e+00
8.617146e-01,-1.844618e+00
9.789216e-01,-1.751796e+00
1.077083e+00,-1.649689e+00
1.156441e+00,-1.542749e+00
1.218220e+00,-1.434727e+00
1.264254e+00,-1.328550e+00
1.296671e+00,-1.226327e+00
1.317641e+00,-1.129447e+00
1.329224e+00,-1.038712e+00
1.333273e+00,-9.544791e-01
1.331399e+00,-8.767813e-01
1.324966e+00,-8.054348e-01
1.315100e+00,-7.401179e-01
1.302724e+00,-6.804302e-01
1.288577e+00,-6.259350e-01
1.273250e+00,-5.761875e-01
1.240818e+00,-4.892205e-01
1.208049e+00,-4.163507e-01
1.176498e+00,-3.548726e-01
1.147041e+00,-3.025609e-01
1.120142e+00,-2.576137e-01
1.085010e+00,-2.009077e-01
1.056237e+00,-1.538061e-01
1.027472e+00,-1.012666e-01
1.006096e+00,-4.564448e-02
1.000075e+00,5.000925e-03
1.009121e+00,5.618200e-02
1.033663e+00,1.135431e-01
1.065128e+00,1.686269e-01
1.096012e+00,2.185807e-01
1.133254e+00,2.792647e-01
1.161471e+00,3.276927e-01
1.192054e+00,3.843375e-01
1.224359e+00,4.512042e-01
1.257209e+00,5.307534e-01
1.288577e+00,6.259350e-01
1.302724e+00,6.804302e-01
1.315100e+00,7.401179e-01
1.324966e+00,8.054348e-01
1.331399e+00,8.767813e-01
1.333273e+00,9.544791e-01
1.329224e+00,1.038712e+00
1.317641e+00,1.129447e+00
1.296671e+00,1.226327e+00
1.264254e+00,1.328550e+00
1.218220e+00,1.434727e+00
1.156441e+00,1.542749e+00
1.077083e+00,1.649689e+00
9.789216e-01,1.751796e+00
8.617146e-01,1.844618e+00
7.265554e-01,1.923315e+00
5.761030e-01,1.983160e+00
4.145835e-01,2.020160e+00
2.474912e-01,2.031687e+00
8.100392e-02,2.016929e+00
-7.876919e-02,1.977040e+00
-2.265220e-01,1.914932e+00
-3.582917e-01,1.834776e+00
-4.717030e-01,1.741365e+00
-5.659194e-01,1.639501e+00
-6.413824e-01,1.533533e+00
-6.994497e-01,1.427073e+00
-7.420288e-01,1.322902e+00
-7.712672e-01,1.222994e+00
-7.893255e-01,1.128626e+00
-7.982297e-01,1.040516e+00
-7.997914e-01,9.589543e-01
-7.955760e-01,8.839330e-01
-7.869011e-01,8.152405e-01
-7.748552e-01,7.525396e-01
-7.603228e-01,6.954232e-01
-7.440143e-01,6.434539e-01
-7.264937e-01,5.961902e-01
-6.894939e-01,5.140899e-01
-6.518102e-01,4.460051e-01
-6.148982e-01,3.892996e-01
-5.795637e-01,3.418166e-01
-5.462108e-01,3.018204e-01
-5.002071e-01,2.529097e-01
-4.589889e-01,2.142364e-01
-4.108852e-01,1.743115e-01
-3.696316e-01,1.439851e-01
-3.260814e-01,1.154769e-01
-2.769247e-01,8.725151e-02
-2.286165e-01,6.330823e-02
-1.818744e-01,4.354350e-02
-1.329503e-01,2.636228e-02
-8.421550e-02,1.288350e-02
-3.505386e-02,3.354300e-03
